y_x,area
12733_28060,19709.304835917657
12733_28061,14388.372229312834
12734_28009,53.38812781488115
12734_28010,11700.591474051433
12734_28011,11874.933970657175
12734_28029,1053.0314830149603
12734_28030,8022.7753576410905
12734_28031,7743.349976734798
12734_28032,7850.997467278405
12734_28033,21457.06472018133
12734_28034,5215.490536363553
12734_28035,934.1834437976887
12734_28036,5429.217019968882
12734_28037,1190.4323885274825
12734_28038,0.0
12734_28039,0.0
12734_28040,0.0
12734_28041,0.0
12734_28042,3364.411261756229
12734_28043,7409.056337734721
12734_28044,11293.84317722498
12734_28045,6831.678459089079
12734_28046,2258.340446524823
12734_28047,1865.7118347615021
12734_28048,0.0
12734_28049,0.0
12734_28050,2860.6291493903227
12734_28051,8424.956047226035
12734_28052,293024.860330295
12734_28053,18422.73776818976
12734_28054,10082.00833088696
12734_28055,4305.874656449831
12734_28056,145584.76754716414
12734_28057,24736.993935209222
12734_28058,10298.05402433668
12734_28059,1211.3338267280249
12735_28008,320.4124489366185
12735_28009,83.24527543832647
12735_28010,15807.860464494055
12735_28011,8867.820412870895
12735_28012,8835.466299464102
12735_28031,0.0
12735_28032,859.5276951635055
12735_28033,18102.01941475344
12735_28034,13928.335927129605
12735_28035,17118.361262960898
12735_28036,18259.96896885863
12735_28037,11972.563180698506
12735_28038,0.0
12735_28039,23681.368713388467
12735_28040,322.71846325335264
12735_28041,751.7539603577251
12735_28042,13712.98528095116
12735_28043,45352.09738761637
12735_28044,20219.18412806875
12735_28045,6597.359745509886
12735_28046,6808.480793790847
12735_28047,0.0
12735_28048,6359.114739155422
12735_28049,20224.47830721094
12735_28050,48644.14879839134
12735_28051,9029.18663755418
12735_28052,129222.33800680484
12735_28053,4585.888657126126
12735_28054,130596.79324808458
12735_28055,52474.65091801626
12735_28056,47173.833076060684
12735_28057,11359.735732219759
12735_28058,19470.38377630936
12736_28008,281.443539752451
12736_28009,3102.308089386433
12736_28010,2221.601379027599
12736_28011,24753.194729155937
12736_28012,5324.437998815008
12736_28013,3707.130012018836
12736_28022,9618.333811671391
12736_28023,2064.9371176265568
12736_28024,11498.316570155415
12736_28026,1512.742179822872
12736_28027,363.52791068372505
12736_28028,419.69450985140503
12736_28029,1131.337327323731
12736_28030,0.0
12736_28031,0.0
12736_28032,300.9768973491683
12736_28033,11751.690776319749
12736_28034,843.5531304120414
12736_28035,5884.76700313704
12736_28036,18104.348187897336
12736_28037,4641.366583635688
12736_28038,32515.94569113201
12736_28039,93982.41102629509
12736_28040,0.0
12736_28041,0.0
12736_28042,18431.85500215842
12736_28043,16540.33672703383
12736_28044,7989.066880930051
12736_28045,6323.206247778134
12736_28046,25164.841760405063
12736_28047,31317.03899389332
12736_28048,56068.09842647502
12736_28049,130036.10382448627
12736_28050,196105.0737020647
